"Escherichia coli str. K-12 substr. MG1655 - GI (Reference)","Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)","Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)","Escherichia coli str. K-12 substr. MG1655 - Description (Reference)","Legionella pneumophila subsp. pneumophila ATCC 43290 - ortholog count (reference : comparison)","Legionella pneumophila subsp. pneumophila ATCC 43290 - ortholuge status","Legionella pneumophila subsp. pneumophila ATCC 43290 - ortholog NCBI RefSeq accession","Campylobacter jejuni subsp. jejuni M1 - ortholog count (reference : comparison)","Campylobacter jejuni subsp. jejuni M1 - ortholuge status","Campylobacter jejuni subsp. jejuni M1 - ortholog NCBI RefSeq accession","Burkholderia multivorans ATCC 17616 NC_010801 - ortholog count (reference : comparison)","Burkholderia multivorans ATCC 17616 NC_010801 - ortholuge status","Burkholderia multivorans ATCC 17616 NC_010801 - ortholog NCBI RefSeq accession","Acinetobacter baumannii 1656-2 - ortholog count (reference : comparison)","Acinetobacter baumannii 1656-2 - ortholuge status","Acinetobacter baumannii 1656-2 - ortholog NCBI RefSeq accession","Shewanella violacea DSS12 - ortholog count (reference : comparison)","Shewanella violacea DSS12 - ortholuge status","Shewanella violacea DSS12 - ortholog NCBI RefSeq accession","Vibrio cholerae O1 biovar El Tor str. N16961 - ortholog count (reference : comparison)","Vibrio cholerae O1 biovar El Tor str. N16961 - ortholuge status","Vibrio cholerae O1 biovar El Tor str. N16961 - ortholog NCBI RefSeq accession"
"16128677","b0702","NP_415230.1","predicted membrane protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128679","b0704","NP_415232.1","predicted protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128681","b0706","NP_415234.1","conserved protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128682","b0707","NP_415235.1","conserved protein, DUF1722 family","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","SSD","NP_232456.1"
"16128683","b0708","NP_415236.1","deoxyribodipyrimidine photolyase, FAD-binding","1 to 1","Borderline-SSD","WP_010945973.1","0","N/A","","2 to 1","RBB","WP_012218206.1;WP_012217349.1","1 to 1","RBB","WP_000063728.1","0","N/A","","1 to 1","SSD","NP_232458.1"
"16128684","b0709","NP_415237.1","dipeptide and tripeptide permease D","0","N/A","","1 to 4","RBB","WP_014516966.1","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128685","b0710","NP_415238.1","conserved metal-binding protein, NIF3 family","1 to 1","RBB","WP_032828691.1","1 to 1","RBB","WP_002866550.1","1 to 1","RBB","WP_012212593.1","1 to 1","SSD","WP_001284925.1","1 to 1","SSD","WP_013051109.1","1 to 1","SSD","NP_231725.1"
"16128686","b0711","NP_415239.1","predicted enzyme subunit","0","N/A","","1 to 1","RBB","WP_002867083.1","1 to 1","RBB","WP_012214315.1","0","N/A","","1 to 1","RBB","WP_013049325.1","1 to 1","Non-SSD","NP_233163.1"
"16128687","b0712","NP_415240.1","predicted enzyme subunit","0","N/A","","1 to 1","RBB","WP_002867084.1","1 to 1","RBB","WP_012214316.1","1 to 1","RBB","WP_001211799.1","1 to 1","RBB","WP_013049324.1","1 to 1","Non-SSD","NP_233164.1"
"16128688","b0713","NP_415241.1","conserved protein, UPF0271 family","0","N/A","","1 to 1","RBB","WP_002867082.1","1 to 1","RBB","WP_012214317.1","1 to 1","SSD","WP_000496072.1","1 to 1","RBB","WP_013049323.1","1 to 1","Non-SSD","NP_233162.1"
"16128689","b0714","NP_415242.1","endonuclease VIII/ 5-formyluracil/5-hydroxymethyluracil DNA glycosylase","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"90111163","b0715","NP_415243.4","regulator of aidB expression; inner membrane protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"90111164","b0716","NP_415244.4","predicted fimbrial-like adhesin protein","0","N/A","","0","N/A","","1 to 2","RBB","WP_006414160.1","0","N/A","","0","N/A","","0","N/A",""
"16128692","b0717","NP_415245.1","predicted periplasmic pilus chaperone","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"90111165","b0718","NP_415246.2","predicted outer membrane protein","0","N/A","","0","N/A","","1 to 1","RBB","WP_044055327.1","0","N/A","","0","N/A","","0","N/A",""
"16128694","b0719","NP_415247.1","predicted fimbrial-like adhesin protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128695","b0720","NP_415248.1","citrate synthase","1 to 1","Borderline-SSD","WP_010947144.1","1 to 1","RBB","WP_002851494.1","1 to 1","RBB","WP_006399550.1","1 to 1","SSD","WP_001287579.1","1 to 1","SSD","WP_013052012.1","1 to 1","SSD","NP_231724.1"
"16128696","b0721","NP_415249.1","succinate dehydrogenase, membrane subunit, binds cytochrome b556","1 to 1","SSD","WP_015444796.1","0","N/A","","2 to 1","RBB","WP_006399545.1;WP_012218197.1","1 to 1","SSD","WP_002027108.1","1 to 1","SSD","WP_013052010.1","1 to 1","SSD","NP_231723.1"
"16128697","b0722","NP_415250.1","succinate dehydrogenase, membrane subunit, binds cytochrome b556","1 to 1","RBB","WP_010946276.1","0","N/A","","2 to 1","RBB","WP_006399546.1","1 to 1","SSD","WP_000833672.1","1 to 1","SSD","WP_013052009.1","1 to 1","SSD","NP_231722.1"
"16128698","b0723","NP_415251.1","succinate dehydrogenase, flavoprotein subunit","1 to 1","SSD","WP_010946277.1","0","N/A","","2 to 1","RBB","WP_006399547.1","1 to 1","Non-SSD","WP_000500957.1","1 to 1","SSD","WP_013052008.1","1 to 1","SSD","NP_231721.1"
"16128699","b0724","NP_415252.1","succinate dehydrogenase, FeS subunit","1 to 1","SSD","WP_010946278.1","1 to 2","RBB","WP_002854302.1","4 to 1","RBB","WP_012217903.1;WP_012218135.1;WP_006399548.1","1 to 1","SSD","WP_000086385.1","1 to 1","SSD","WP_013052007.1","1 to 1","SSD","NP_231720.1"
"16128701","b0726","NP_415254.1","2-oxoglutarate decarboxylase, thiamin-requiring","1 to 1","SSD","WP_015444795.1","0","N/A","","1 to 1","RBB","WP_006414736.1","1 to 1","SSD","WP_001984866.1","1 to 1","SSD","WP_013052006.1","1 to 1","SSD","NP_231719.1"
"16128702","b0727","NP_415255.1","dihydrolipoyltranssuccinase","1 to 1","SSD","WP_010946280.1","0","N/A","","1 to 1","RBB","WP_012213467.1","1 to 1","SSD","WP_000179879.1","1 to 1","SSD","WP_013052005.1","1 to 1","SSD","NP_231718.1"
"16128703","b0728","NP_415256.1","succinyl-CoA synthetase, beta subunit","1 to 1","RBB","WP_015444794.1","1 to 1","SSD","WP_002866417.1","1 to 1","RBB","WP_012212783.1","1 to 1","SSD","WP_001048573.1","1 to 1","SSD","WP_013052004.1","1 to 1","SimNSSD","NP_231717.1"
"16128704","b0729","NP_415257.1","succinyl-CoA synthetase, NAD(P)-binding, alpha subunit","1 to 1","RBB","WP_010946282.1","1 to 1","SSD","WP_002855278.1","1 to 1","RBB","WP_006398391.1","1 to 1","SSD","WP_000114637.1","1 to 1","SSD","WP_013052003.1","1 to 1","Borderline-SSD","NP_231716.1"
"16128705","b0730","NP_415258.1","DNA-binding transcriptional dual regulator, fatty-acyl-binding","0","N/A","","0","N/A","","3 to 1","RBB","WP_006402004.1;WP_006397955.1;WP_006415925.1","1 to 1","Non-SSD","WP_001138319.1","3 to 1","RBB","WP_013053530.1","0","N/A",""
"16128706","b0731","NP_415259.1","fused 2-O-a-mannosyl-D-glycerate specific PTS enzymes: IIA component/IIB component/IIC component","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128707","b0732","NP_415260.1","alpha-mannosidase","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"90111166","b0733","NP_415261.2","cytochrome d terminal oxidase, subunit I","1 to 2","RBB","WP_010946934.1","1 to 2","RBB","WP_002865973.1","1 to 1","RBB","WP_012212679.1","1 to 1","RBB","WP_000622644.1","1 to 1","SSD","WP_013050669.1","1 to 2","SSD","NP_231478.1;NP_233258.1"
"16128709","b0734","NP_415262.1","cytochrome d terminal oxidase, subunit II","1 to 2","RBB","WP_010946935.1","1 to 2","RBB","WP_002865974.1","1 to 2","RBB","WP_012212678.1","1 to 2","RBB","WP_000575152.1","1 to 1","RBB","WP_013050670.1","1 to 1","Borderline-SSD","NP_231477.1"
"16128710","b0735","NP_415263.1","conserved protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","NP_231475.1"
"16128711","b0736","NP_415264.1","acyl-CoA thioesterase, involved in phospholipid metabolism","1 to 1","SSD","WP_010947304.1","1 to 1","RBB","WP_002853400.1","1 to 1","RBB","WP_012467499.1","1 to 1","SSD","WP_001273591.1","1 to 1","SSD","WP_013051064.1","1 to 1","RBB","NP_231474.1"
"16128712","b0737","NP_415265.1","membrane spanning protein in TolA-TolQ-TolR complex","1 to 1","SSD","WP_011213853.1","1 to 1","RBB","WP_002851166.1","1 to 1","RBB","WP_006401569.1","1 to 1","SSD","WP_000224630.1","1 to 1","SSD","WP_013051065.1","1 to 1","SSD","NP_231473.1"
"16128713","b0738","NP_415266.1","membrane spanning protein in TolA-TolQ-TolR complex","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","Non-SSD","NP_231472.1"
"16128714","b0739","NP_415267.1","membrane anchored protein in TolA-TolQ-TolR complex","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","NP_231471.1"
"16128715","b0740","NP_415268.1","periplasmic protein","1 to 1","SSD","WP_010947300.1","1 to 1","RBB","WP_002860943.1","1 to 1","RBB","WP_012214041.1","1 to 1","SSD","WP_000858386.1","1 to 1","SSD","WP_013051068.1","1 to 1","SSD","NP_231470.1"
"16128716","b0741","NP_415269.1","peptidoglycan-associated outer membrane lipoprotein","1 to 1","SSD","WP_010947759.1","1 to 1","RBB","WP_002851617.1","2 to 1","RBB","WP_006401573.1;WP_006413128.1","1 to 1","SSD","WP_000836015.1","1 to 1","SSD","WP_013051069.1","1 to 1","SSD","NP_231469.1"
"16128717","b0742","NP_415270.1","periplasmic TolA-binding protein","1 to 1","SSD","WP_010947758.1","0","N/A","","1 to 1","RBB","WP_006401574.1","1 to 1","SSD","WP_001178068.1","1 to 1","SSD","WP_041419809.1","1 to 1","SSD","NP_231468.1"
"16128718","b0750","NP_415271.1","quinolinate synthase, subunit A","1 to 1","Borderline-SSD","WP_010946535.1","0","N/A","","1 to 1","RBB","WP_006398541.1","1 to 1","SSD","WP_001278262.1","1 to 1","SSD","WP_013051321.1","1 to 1","SSD","NP_231467.1"
"16128719","b0751","NP_415272.1","nicotinamide mononucleotide transporter","0","N/A","","0","N/A","","1 to 1","RBB","WP_006397913.1","1 to 1","RBB","WP_000074692.1","1 to 1","SSD","WP_013051954.1","0","N/A",""
"16128720","b0752","NP_415273.1","zinc efflux system","1 to 1","Non-SSD","WP_010948437.1","1 to 1","RBB","WP_002866178.1","1 to 1","RBB","WP_012217755.1","1 to 1","RBB","WP_000508760.1","0","N/A","","0","N/A",""
"16128721","b0753","NP_415274.1","conserved protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128722","b0754","NP_415275.1","3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, phenylalanine repressible","1 to 3","RBB","WP_010948232.1","0","N/A","","1 to 1","RBB","WP_006401618.1","0","N/A","","1 to 1","RBB","WP_013050052.1","0","N/A",""
"16128723","b0755","NP_415276.1","phosphoglyceromutase 1","0","N/A","","0","N/A","","1 to 1","RBB","WP_006398185.1","0","N/A","","0","N/A","","0","N/A",""
"16128724","b0756","NP_415277.1","galactose-1-epimerase (mutarotase)","0","N/A","","0","N/A","","2 to 1","RBB","WP_012217817.1;WP_012216976.1","1 to 1","RBB","WP_000731749.1","1 to 1","RBB","WP_013052978.1","1 to 1","SSD","NP_231234.2"
"16128725","b0757","NP_415278.1","galactokinase","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_013052977.1","1 to 1","RBB","NP_231235.1"
"16128726","b0758","NP_415279.1","galactose-1-phosphate uridylyltransferase","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_013051260.1","1 to 1","RBB","NP_231236.2"
"49176045","b0759","NP_415280.3","UDP-galactose-4-epimerase","0","N/A","","2 to 1","RBB","WP_014517050.1;WP_014517109.1","1 to 1","RBB","WP_006400943.1","1 to 1","RBB","WP_001062906.1","1 to 1","SSD","WP_013050809.1","1 to 1","SSD","NP_233160.1"
"16128728","b0760","NP_415281.1","fused molybdate transporter subunits of ABC superfamily: ATP-binding components","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128729","b0761","NP_415282.1","DNA-binding transcriptional repressor for the molybdenum transport operon modABC","0","N/A","","0","N/A","","2 to 1","RBB","WP_012218452.1;WP_012217454.1","1 to 1","RBB","WP_000664112.1","0","N/A","","0","N/A",""
"16128730","b0762","NP_415283.1","predicted protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128731","b0763","NP_415284.1","molybdate transporter subunit","0","N/A","","1 to 1","RBB","WP_014516936.1","1 to 1","RBB","WP_012467819.1","1 to 1","SSD","WP_000253150.1","1 to 1","SSD","WP_013053497.1","1 to 1","SSD","NP_233113.1"
"16128732","b0764","NP_415285.1","molybdate transporter subunit","0","N/A","","1 to 3","RBB","WP_014516934.1","1 to 1","RBB","WP_006399428.1","1 to 1","RBB","WP_000971585.1","1 to 1","RBB","WP_013053496.1","1 to 1","RBB","NP_233112.1"
"16128733","b0765","NP_415286.1","molybdate transporter subunit","0","N/A","","0","N/A","","0","N/A","","1 to 1","SSD","WP_000904336.1","0","N/A","","1 to 1","SSD","NP_233111.1"
"16128734","b0766","NP_415287.1","pyridoxal phosphate (PLP) phosphatase","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","NP_232641.1"
"16128735","b0767","NP_415288.1","6-phosphogluconolactonase","0","N/A","","0","N/A","","1 to 1","RBB","WP_012213039.1","1 to 1","RBB","WP_002017010.1","0","N/A","","0","N/A",""
"145698233","b0768","NP_415289.4","predicted DNA-binding transcriptional regulator","0","N/A","","0","N/A","","1 to 1","RBB","WP_006416809.1","1 to 2","RBB","WP_000172956.1","0","N/A","","0","N/A",""
"16128737","b0769","NP_415290.1","conserved protein","0","N/A","","0","N/A","","1 to 1","RBB","WP_012216277.1","1 to 1","RBB","WP_000011463.1","1 to 1","RBB","WP_013052348.1","1 to 1","RBB","NP_230983.1"
"16128738","b0770","NP_415291.1","predicted transporter","0","N/A","","1 to 1","RBB","WP_002866620.1","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"90111167","b0771","NP_415292.2","predicted hydratase","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128740","b0772","NP_415293.1","acyl-CoA thioesterase, lipoprotein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128741","b0773","NP_415294.1","kinase inhibitor homolog, UPF0098 family","1 to 2","RBB","WP_011213736.1","0","N/A","","1 to 2","RBB","WP_012212546.1","0","N/A","","0","N/A","","0","N/A",""
"16128742","b0774","NP_415295.1","7,8-diaminopelargonic acid synthase, PLP-dependent","1 to 1","SSD","WP_011213756.1","0","N/A","","1 to 1","RBB","WP_012212613.1","1 to 1","SSD","WP_000131430.1","1 to 1","SSD","WP_041420352.1","1 to 1","SSD","NP_230756.1"
"16128743","b0775","NP_415296.1","biotin synthase","1 to 1","Borderline-SSD","WP_010947201.1","1 to 1","SSD","YP_005658558","1 to 1","RBB","WP_006407107.1","1 to 1","RBB","WP_000175360.1","1 to 1","SSD","WP_013051980.1","1 to 1","SSD","NP_230757.1"
"16128744","b0776","NP_415297.1","8-amino-7-oxononanoate synthase","1 to 1","RBB","WP_011213757.1","1 to 2","RBB","WP_014516937.1","1 to 1","RBB","WP_012212612.1","1 to 2","RBB","WP_000054334.1","1 to 1","RBB","WP_041420351.1","1 to 1","Borderline-SSD","NP_230758.1"
"16128745","b0777","NP_415298.1","malonyl-CoA methyltransferase, SAM-dependent","1 to 1","SSD","WP_015444137.1","1 to 1","RBB","WP_002872037.1","1 to 1","RBB","WP_012217020.1","0","N/A","","1 to 1","SSD","WP_013051978.1","1 to 1","SSD","NP_230759.1"
"16128746","b0778","NP_415299.1","dethiobiotin synthetase","1 to 2","RBB","WP_011213759.1","1 to 1","SSD","WP_014516940.1","1 to 2","RBB","WP_006398099.1","1 to 2","RBB","WP_000016597.1","2 to 1","SSD","WP_013051977.1","0","N/A",""
"16128747","b0779","NP_415300.1","excinulease of nucleotide excision repair, DNA damage recognition component","1 to 1","SSD","WP_010945833.1","1 to 1","SSD","WP_014516973.1","1 to 1","RBB","WP_006402050.1","1 to 1","SSD","WP_001004983.1","1 to 1","SSD","WP_013051608.1","1 to 1","SSD","NP_230664.1"
"16128748","b0780","NP_415301.1","predicted transferase with NAD(P)-binding Rossmann-fold domain","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_013051434.1","1 to 1","RBB","NP_230668.1"
"16128749","b0781","NP_415302.1","molybdopterin biosynthesis protein A","0","N/A","","1 to 1","SSD","WP_002868437.1","2 to 1","RBB","WP_012464956.1;WP_012213801.1","1 to 1","Borderline-SSD","WP_000977665.1","1 to 1","SSD","WP_013053501.1","1 to 1","SSD","NP_230669.1"
"16128750","b0782","NP_415303.1","molybdopterin biosynthesis protein B","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","Borderline-SSD","NP_230670.1"
"16128751","b0783","NP_415304.1","molybdopterin biosynthesis, protein C","0","N/A","","1 to 1","SSD","WP_002878143.1","1 to 1","RBB","WP_006406501.1","1 to 1","SSD","WP_000799981.1","1 to 1","SSD","WP_013053500.1","1 to 1","SSD","NP_230671.1"
"16128752","b0784","NP_415305.1","molybdopterin synthase, small subunit","0","N/A","","0","N/A","","2 to 1","RBB","WP_006398844.1;WP_012213228.1","0","N/A","","1 to 1","SSD","WP_013053499.1","1 to 1","RBB","NP_230672.1"
"16128753","b0785","NP_415306.1","molybdopterin synthase, large subunit","0","N/A","","0","N/A","","1 to 1","RBB","WP_012213229.1","1 to 1","Non-SSD","WP_000657200.1","1 to 1","SSD","WP_013053498.1","1 to 1","SSD","NP_230673.1"
"16128754","b0786","NP_415307.1","inner membrane protein, UPF0005 family","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128755","b0787","NP_415308.1","inner membrane protein, UPF0005 family","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128756","b0788","NP_415309.1","conserved inner membrane protein","0","N/A","","0","N/A","","1 to 1","RBB","WP_012216934.1","0","N/A","","0","N/A","","0","N/A",""
"16128757","b0789","NP_415310.1","cardiolipin synthase 2","0","N/A","","0","N/A","","1 to 1","RBB","WP_006398310.1","0","N/A","","0","N/A","","0","N/A",""
"16128758","b0790","NP_415311.1","conserved protein, endo/exonuclease/phosphatase family PFAM PF03372","1 to 1","SSD","WP_011945636.1","0","N/A","","1 to 1","RBB","WP_006402723.1","0","N/A","","0","N/A","","0","N/A",""
"16128759","b0791","NP_415312.1","inner membrane protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128760","b0792","NP_415313.1","predicted transporter subunit: membrane component of ABC superfamily","1 to 1","RBB","WP_011945818.1","0","N/A","","0","N/A","","1 to 1","RBB","WP_000267847.1","0","N/A","","0","N/A",""
"16128761","b0793","NP_415314.1","predicted transporter subunit: membrane component of ABC superfamily","1 to 1","RBB","WP_011945817.1","0","N/A","","0","N/A","","1 to 1","RBB","WP_000006398.1","0","N/A","","0","N/A",""
"90111168","b0794","NP_415315.4","fused predicted transporter subunits of ABC superfamily: ATP-binding components","1 to 1","RBB","WP_015444761.1","0","N/A","","0","N/A","","1 to 1","RBB","WP_000567280.1","2 to 1","RBB","WP_013053548.1","0","N/A",""
"16128763","b0795","NP_415316.1","predicted membrane fusion protein (MFP) component of efflux pump, membrane anchor","1 to 1","RBB","WP_011213245.1","0","N/A","","0","N/A","","1 to 1","RBB","WP_001036898.1","2 to 1","RBB","WP_041419565.1","1 to 1","Non-SSD","NP_231296.1"
"162135896","b0796","NP_415317.4","predicted DNA-binding transcriptional regulator","0","N/A","","0","N/A","","1 to 1","RBB","WP_012217340.1","0","N/A","","0","N/A","","0","N/A",""
"16128765","b0797","NP_415318.1","ATP-dependent RNA helicase","1 to 1","SSD","WP_010946011.1","0","N/A","","1 to 1","RBB","WP_012212764.1","0","N/A","","1 to 1","Borderline-SSD","WP_013049807.1","1 to 1","Non-SSD","NP_232603.1"
"16128766","b0798","NP_415319.1","conserved protein, DUF1768 family","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_000650943.1","0","N/A","","0","N/A",""
"16128767","b0799","NP_415320.1","ATP-dependent DNA helicase","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","SSD","WP_041420379.1","1 to 1","Borderline-SSD","NP_231489.2"
"16128768","b0800","NP_415321.1","predicted transferase/phosphorylase","0","N/A","","0","N/A","","1 to 1","RBB","WP_006398234.1","1 to 1","SSD","WP_001093417.1","0","N/A","","0","N/A",""
"16128769","b0801","NP_415322.1","predicted dehydrogenase","0","N/A","","0","N/A","","1 to 1","RBB","WP_012216571.1","0","N/A","","0","N/A","","0","N/A",""
"16128770","b0802","NP_415323.1","predicted protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128771","b0803","NP_415324.1","DksA-type zinc finger protein, function unknown","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_000227381.1","1 to 1","RBB","WP_013052595.1","0","N/A",""
"90111170","b0804","NP_415325.4","conserved protein, Fe(II)-dependent oxygenase superfamily","0","N/A","","0","N/A","","2 to 1","RBB","WP_012216641.1;WP_006396388.1","1 to 1","SSD","WP_001984475.1","0","N/A","","0","N/A",""
"16128773","b0805","NP_415326.1","catecholate siderophore receptor Fiu","0","N/A","","0","N/A","","1 to 1","RBB","WP_012216643.1","1 to 1","RBB","WP_000052887.1","0","N/A","","0","N/A",""
"90111171","b0806","NP_415327.2","colanic acid mucoidy stimulation protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"162135897","b0807","NP_415328.4","23S rRNA mA1618 methyltransferase, SAM-dependent","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_013053511.1","1 to 1","Borderline-SSD","NP_231254.1"
"90111173","b0808","NP_415329.4","predicted mechanosensitive channel","0","N/A","","0","N/A","","1 to 1","RBB","WP_012467859.1","0","N/A","","0","N/A","","0","N/A",""
"16128777","b0809","NP_415330.1","glutamine transporter subunit","1 to 2","RBB","WP_010946241.1","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128778","b0810","NP_415331.1","glutamine transporter subunit","1 to 5","RBB","WP_016356730.1","1 to 1","RBB","WP_012006708.1","0","N/A","","1 to 2","RBB","WP_001104463.1","0","N/A","","0","N/A",""
"16128779","b0811","NP_415332.1","glutamine transporter subunit","1 to 2","RBB","WP_010946239.1","1 to 2","RBB","WP_002866967.1","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128780","b0812","NP_415333.1","Fe-binding and storage protein","1 to 1","RBB","WP_011213272.1","1 to 1","RBB","WP_002867076.1","1 to 1","RBB","WP_006412288.1","0","N/A","","1 to 1","RBB","WP_013052682.1","1 to 1","RBB","NP_229797.1"
"16128781","b0813","NP_415334.1","threonine and homoserine efflux system","0","N/A","","0","N/A","","0","N/A","","2 to 1","RBB","WP_000098159.1;WP_001180510.1","0","N/A","","1 to 1","RBB","NP_230955.1"
"16128782","b0814","NP_415335.1","outer membrane protein X","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128783","b0815","NP_415336.1","predicted hydrolase, inner membrane","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128784","b0816","NP_415337.1","predicted protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128785","b0817","NP_415338.1","DNA-binding transcriptional regulator of mntH","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128786","b0818","NP_415339.1","predicted transporter","1 to 1","SSD","WP_010948562.1","0","N/A","","1 to 1","RBB","WP_012212472.1","0","N/A","","0","N/A","","0","N/A",""
"16128787","b0819","NP_415340.1","L,D-transpeptidase linking Lpp to murein","1 to 4","RBB","WP_010947324.1","0","N/A","","0","N/A","","1 to 3","RBB","WP_000498089.1","0","N/A","","3 to 1","RBB","NP_232459.1"
"16128788","b0820","NP_415341.1","fused predicted transporter subunits of ABC superfamily: ATP-binding components","0","N/A","","1 to 1","RBB","WP_002866019.1","1 to 1","RBB","WP_006404738.1","0","N/A","","1 to 1","SSD","WP_041420394.1","1 to 1","Borderline-SSD","NP_231160.1"
"16128789","b0821","NP_415342.1","predicted protein","0","N/A","","0","N/A","","1 to 1","RBB","WP_012217311.1","0","N/A","","0","N/A","","0","N/A",""
"16128790","b0822","NP_415343.1","sugar phosphatase; preference for fructose-1-P, ribose-5-P and glucose-6-P","0","N/A","","0","N/A","","0","N/A","","1 to 2","RBB","WP_000216425.1","0","N/A","","0","N/A",""
"16128791","b0823","NP_415344.1","predicted pyruvate formate lyase","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"226524704","b0824","NP_415345.2","predicted pyruvate formate lyase activating enzyme","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"90111174","b0825","NP_415346.4","fructose-6-phosphate aldolase 1","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128794","b0826","NP_415347.1","molybdopterin synthase sulfurylase","1 to 2","Borderline-SSD","WP_015444470.1","1 to 2","SSD","WP_002864960.1","1 to 1","RBB","WP_006415072.1","1 to 2","SSD","WP_000137905.1","1 to 1","SSD","WP_013053477.1","1 to 1","SSD","NP_233007.1"
"16128795","b0827","NP_415348.1","molybdopterin biosynthesis protein","0","N/A","","1 to 1","RBB","WP_002866937.1","1 to 1","RBB","WP_012213803.1","1 to 1","RBB","WP_000012047.1","1 to 1","SSD","WP_013053476.1","1 to 1","SSD","NP_233006.1"
"16128796","b0828","NP_415349.1","Isoaspartyl peptidase","0","N/A","","0","N/A","","1 to 1","RBB","WP_012217146.1","0","N/A","","1 to 1","SSD","WP_041420330.1","1 to 1","RBB","NP_232231.1"
"145698235","b0829","NP_415350.2","glutathione transporter ATP-binding protein, ABC superfamily","1 to 2","Borderline-SSD","WP_011945841.1","0","N/A","","1 to 1","RBB","WP_012217145.1","1 to 1","Non-SSD","WP_001295038.1","0","N/A","","0","N/A",""
"16128798","b0830","NP_415351.1","glutathione periplasmic binding protein, ABC superfamily transporter","0","N/A","","1 to 2","RBB","WP_002877559.1","1 to 1","RBB","WP_006399880.1","0","N/A","","0","N/A","","0","N/A",""
"16128799","b0831","NP_415352.1","glutathione transporter, permease component, ABC superfamily","1 to 6","RBB","WP_010946695.1","1 to 7","RBB","WP_002877562.1","1 to 1","RBB","WP_012217144.1","1 to 4","RBB","WP_000881926.1","0","N/A","","0","N/A",""
